Active School Zone,AGE,At Intersection,Charge,Crash ID,Crash Severity,Date/Time,Ethnicity,Gender,Helmet Damage,Person Age,SPEED LIMIT,Speed Limit,Surface Condition,Weather Condition,Weekday,Deaths,Injuries,Latitude,Longitude,Not Injured
NO,45,FALSE,NO CHARGES,12587785,SUSPECTED MINOR INJURY,29/02/2012 19:04,BLACK,MALE,UNKNOWN,48,30,30,DRY,CLOUDY,WEDNESDAY,0,1,30.18935899,-97.76778658,1
NO,35,TRUE,NO CHARGES,12588178,SUSPECTED MINOR INJURY,29/02/2012 19:48,WHITE,MALE,UNKNOWN,37,25,25,DRY,CLEAR,WEDNESDAY,0,1,30.26217478,-97.71590247,2
NO,25,FALSE,NO CHARGES,12614594,SUSPECTED MINOR INJURY,29/02/2012 06:56,WHITE,MALE,UNKNOWN,26,0,0,DRY,CLOUDY,WEDNESDAY,0,1,,,2
NO,60,TRUE,NO CHARGES,12614556,SUSPECTED MINOR INJURY,02/03/2012 22:00,HISPANIC,MALE,UNKNOWN,63,30,30,DRY,CLEAR,FRIDAY,0,1,30.26404478,-97.72947247,0
NO,55,TRUE,NO CHARGES,12629254,SUSPECTED MINOR INJURY,02/03/2012 13:15,WHITE,MALE,UNKNOWN,57,0,0,DRY,CLEAR,FRIDAY,0,1,30.23360864,-97.74126543,1
NO,25,TRUE,NO CHARGES,12587778,POSSIBLE INJURY,03/03/2012 00:19,WHITE,FEMALE,UNKNOWN,28,0,0,DRY,CLEAR,SATURDAY,0,1,30.30274477,-97.73815246,1
NO,25,TRUE,NO CHARGES,12588135,SUSPECTED MINOR INJURY,03/03/2012 02:25,ASIAN,MALE,UNKNOWN,26,0,0,DRY,CLEAR,SATURDAY,0,1,30.23879479,-97.75354246,2
NO,10,FALSE,NO CHARGES,12588139,SUSPECTED MINOR INJURY,03/03/2012 17:39,WHITE,MALE,UNKNOWN,11,30,30,DRY,CLEAR,SATURDAY,0,1,30.19848619,-97.75214796,1
NO,30,TRUE,NO CHARGES,12638460,POSSIBLE INJURY,04/03/2012 08:39,BLACK,MALE,UNKNOWN,32,30,30,DRY,CLEAR,SUNDAY,0,1,30.23245408,-97.87647226,1
NO,20,TRUE,NO CHARGES,12588047,SUSPECTED MINOR INJURY,05/03/2012 13:13,WHITE,MALE,UNKNOWN,21,30,30,DRY,CLEAR,MONDAY,0,1,30.40313475,-97.70038247,1
NO,25,TRUE,NO CHARGES,12596673,SUSPECTED MINOR INJURY,08/03/2012 08:46,WHITE,FEMALE,NOT DAMAGED,25,30,30,DRY,CLOUDY,THURSDAY,0,1,30.28131478,-97.75840246,2
NO,10,FALSE,NO CHARGES,12614598,POSSIBLE INJURY,08/03/2012 19:05,BLACK,MALE,UNKNOWN,14,0,0,UNKNOWN,UNKNOWN,THURSDAY,0,2,,,0
NO,10,FALSE,NO CHARGES,12614598,POSSIBLE INJURY,08/03/2012 19:05,BLACK,FEMALE,UNKNOWN,10,0,0,UNKNOWN,UNKNOWN,THURSDAY,0,2,,,0
NO,25,FALSE,NO CHARGES,12596655,SUSPECTED MINOR INJURY,09/03/2012 04:00,HISPANIC,FEMALE,NOT DAMAGED,29,30,30,WET,RAIN,FRIDAY,0,1,30.27200617,-97.75906407,1
NO,30,TRUE,NO CHARGES,12646999,SUSPECTED MINOR INJURY,16/03/2012 17:11,WHITE,MALE,UNKNOWN,31,0,0,DRY,CLEAR,FRIDAY,0,1,30.26210023,-97.73995337,1
NO,20,FALSE,NO CHARGES,12647013,SUSPECTED MINOR INJURY,16/03/2012 13:17,WHITE,MALE,UNKNOWN,22,0,0,DRY,CLEAR,FRIDAY,0,1,30.29178092,-97.74983935,1
NO,35,TRUE,NO CHARGES,12604071,SUSPECTED MINOR INJURY,17/03/2012 11:46,WHITE,MALE,UNKNOWN,39,40,40,DRY,CLOUDY,SATURDAY,0,1,30.24694096,-97.77715953,1
NO,25,TRUE,NO CHARGES,12667746,NOT INJURED,21/03/2012 14:04,WHITE,MALE,UNKNOWN,26,30,30,DRY,CLEAR,WEDNESDAY,0,0,30.26028478,-97.74963246,2
NO,25,TRUE,NO CHARGES,12629539,SUSPECTED MINOR INJURY,22/03/2012 18:19,WHITE,MALE,NOT DAMAGED,27,35,35,DRY,CLEAR,THURSDAY,0,1,30.2618442,-97.73886871,1
NO,20,FALSE,WRONG WAY-ONE WAY,12629475,SUSPECTED MINOR INJURY,23/03/2012 14:35,WHITE,MALE,UNKNOWN,24,30,30,DRY,CLEAR,FRIDAY,0,1,30.29096493,-97.74282875,1
NO,30,TRUE,NO CHARGES,12674713,POSSIBLE INJURY,25/03/2012 18:14,WHITE,FEMALE,NOT DAMAGED,31,35,35,DRY,CLEAR,SUNDAY,0,1,30.26678478,-97.73825246,1
NO,30,TRUE,"WARRANT ARREST, RAN RED LIGHT",12629655,NOT INJURED,26/03/2012 14:19,WHITE,MALE,UNKNOWN,30,35,35,DRY,CLEAR,MONDAY,0,0,30.24819973,-97.73538931,2
NO,25,FALSE,NO CHARGES,12705797,SUSPECTED MINOR INJURY,27/03/2012 15:11,WHITE,FEMALE,UNKNOWN,26,35,35,DRY,CLEAR,TUESDAY,0,1,30.258896,-97.75161831,6
NO,15,FALSE,NO CHARGES,12676052,SUSPECTED MINOR INJURY,28/03/2012 21:51,WHITE,FEMALE,UNKNOWN,19,0,0,WET,RAIN,WEDNESDAY,0,1,30.2584348,-97.75021259,0
NO,20,FALSE,NO CHARGES,12635868,SUSPECTED MINOR INJURY,29/03/2012 12:12,WHITE,MALE,UNKNOWN,20,30,30,DRY,CLOUDY,THURSDAY,0,1,,,1
NO,20,FALSE,NO CHARGES,12636118,SUSPECTED MINOR INJURY,29/03/2012 07:52,HISPANIC,MALE,UNKNOWN,23,0,0,DRY,CLOUDY,THURSDAY,0,1,,,1
NO,25,FALSE,NO CHARGES,12674776,SUSPECTED MINOR INJURY,29/03/2012 09:20,WHITE,FEMALE,UNKNOWN,28,35,35,DRY,CLOUDY,THURSDAY,0,1,30.23868482,-97.75363716,1
NO,25,TRUE,NO CHARGES,12635847,SUSPECTED MINOR INJURY,30/03/2012 23:14,WHITE,FEMALE,UNKNOWN,29,35,35,DRY,CLEAR,FRIDAY,0,1,30.26143478,-97.76001246,1
NO,25,TRUE,UNSAFE MOVEMENT-LEFT,12635930,SUSPECTED MINOR INJURY,31/03/2012 19:57,WHITE,MALE,UNKNOWN,26,30,30,DRY,CLEAR,SATURDAY,0,1,30.26404478,-97.72947247,2
NO,40,FALSE,NO CHARGES,12712159,SUSPECTED MINOR INJURY,01/04/2012 12:16,WHITE,MALE,UNKNOWN,43,45,45,UNKNOWN,UNKNOWN,SUNDAY,0,1,30.1782248,-97.83872245,1
NO,20,FALSE,NO CHARGES,12636027,POSSIBLE INJURY,02/04/2012 16:47,BLACK,MALE,UNKNOWN,20,0,0,DRY,CLEAR,MONDAY,0,1,30.2308513,-97.73336739,1
NO,30,FALSE,NO CHARGES,12677534,SUSPECTED MINOR INJURY,02/04/2012 15:33,HISPANIC,MALE,UNKNOWN,31,35,35,DRY,CLEAR,MONDAY,0,1,30.28731633,-97.72700624,1
NO,55,FALSE,NO CHARGES,12705824,SUSPECTED MINOR INJURY,02/04/2012 12:09,HISPANIC,MALE,UNKNOWN,57,35,35,DRY,CLEAR,MONDAY,0,1,30.23105478,-97.75934247,1
NO,50,FALSE,NO CHARGES,12635986,SUSPECTED MINOR INJURY,03/04/2012 17:07,HISPANIC,FEMALE,UNKNOWN,53,30,30,DRY,CLEAR,TUESDAY,0,1,30.27355915,-97.69108431,0
NO,40,FALSE,NO CHARGES,12648853,SUSPECTED MINOR INJURY,04/04/2012 17:43,WHITE,MALE,NOT DAMAGED,41,60,60,DRY,CLEAR,WEDNESDAY,0,1,30.4187382,-97.84637095,6
NO,0,FALSE,NO CHARGES,12832866,SUSPECTED SERIOUS INJURY,04/04/2012 18:23,HISPANIC,MALE,UNKNOWN,3,0,0,DRY,CLEAR,WEDNESDAY,0,1,,,4
NO,60,TRUE,NO CHARGES,12648792,SUSPECTED MINOR INJURY,05/04/2012 07:05,WHITE,MALE,NOT DAMAGED,64,30,30,DRY,CLEAR,THURSDAY,0,1,30.1936748,-97.88591243,1
NO,40,FALSE,NO CHARGES,12648839,SUSPECTED SERIOUS INJURY,05/04/2012 02:16,WHITE,MALE,UNKNOWN,42,40,40,DRY,CLEAR,THURSDAY,0,1,30.35993437,-97.72982256,2
NO,25,TRUE,NO CHARGES,12648844,NOT INJURED,05/04/2012 22:29,HISPANIC,MALE,UNKNOWN,26,35,35,DRY,CLEAR,THURSDAY,0,0,30.29871477,-97.72979246,3
NO,20,TRUE,NO CHARGES,12677565,SUSPECTED MINOR INJURY,05/04/2012 16:17,WHITE,MALE,UNKNOWN,22,0,0,DRY,CLEAR,THURSDAY,0,1,30.26028478,-97.74963246,2
NO,50,FALSE,NO CHARGES,12648769,SUSPECTED MINOR INJURY,06/04/2012 17:33,WHITE,MALE,DAMAGED,53,35,35,DRY,CLEAR,FRIDAY,0,1,30.24168809,-97.7587044,2
NO,25,TRUE,NO CHARGES,12648787,SUSPECTED MINOR INJURY,06/04/2012 12:35,WHITE,MALE,UNKNOWN,29,40,40,DRY,CLEAR,FRIDAY,0,1,30.3078912,-97.74139151,1
NO,25,FALSE,NO CHARGES,12650225,SUSPECTED MINOR INJURY,07/04/2012 21:30,WHITE,FEMALE,UNKNOWN,28,45,45,DRY,CLEAR,SATURDAY,0,1,30.23176585,-97.75893107,1
NO,30,TRUE,NO CHARGES,12650238,SUSPECTED MINOR INJURY,07/04/2012 13:39,WHITE,FEMALE,UNKNOWN,33,0,0,DRY,CLEAR,SATURDAY,0,1,30.25890478,-97.74621246,1
NO,20,TRUE,RAN RED LIGHT,12677502,SUSPECTED MINOR INJURY,07/04/2012 17:48,WHITE,FEMALE,NOT DAMAGED,23,0,0,DRY,CLEAR,SATURDAY,0,1,30.37683476,-97.65911248,4
NO,20,FALSE,NO CHARGES,12706507,SUSPECTED MINOR INJURY,07/04/2012 02:02,WHITE,FEMALE,NOT DAMAGED,21,35,35,DRY,CLEAR,SATURDAY,0,1,30.22281479,-97.77181246,1
NO,25,TRUE,NO CHARGES,12648999,SUSPECTED MINOR INJURY,08/04/2012 18:23,WHITE,MALE,UNKNOWN,25,30,30,DRY,CLEAR,SUNDAY,0,3,30.2418505,-97.7260286,7
NO,15,TRUE,RAN STOP SIGN,12650227,SUSPECTED MINOR INJURY,09/04/2012 11:55,HISPANIC,MALE,UNKNOWN,16,30,30,DRY,CLEAR,MONDAY,0,1,30.25677478,-97.71683247,1
NO,20,FALSE,NO CHARGES,12648868,SUSPECTED MINOR INJURY,10/04/2012 10:50,WHITE,FEMALE,DAMAGED,23,30,30,DRY,CLEAR,TUESDAY,0,1,30.29546203,-97.7367638,2
NO,25,FALSE,NO CHARGES,12670648,POSSIBLE INJURY,10/04/2012 09:20,WHITE,MALE,UNKNOWN,27,35,35,DRY,CLEAR,TUESDAY,0,1,,,1
NO,20,FALSE,NO CHARGES,12660367,SUSPECTED SERIOUS INJURY,14/04/2012 02:50,WHITE,FEMALE,UNKNOWN,21,0,0,DRY,CLEAR,SATURDAY,0,1,30.26959356,-97.7384087,1
NO,5,FALSE,NO CHARGES,12712164,POSSIBLE INJURY,14/04/2012 16:37,HISPANIC,MALE,UNKNOWN,7,25,25,DRY,CLEAR,SATURDAY,0,1,30.18382461,-97.74983702,3
NO,20,FALSE,NO CHARGES,12660477,SUSPECTED MINOR INJURY,17/04/2012 12:52,WHITE,FEMALE,NOT DAMAGED,23,45,45,DRY,CLEAR,TUESDAY,0,1,30.26790527,-97.73850473,1
NO,50,FALSE,NO CHARGES,12712190,SUSPECTED MINOR INJURY,19/04/2012 10:39,WHITE,MALE,UNKNOWN,54,35,35,DRY,CLEAR,THURSDAY,0,1,30.24645028,-97.77829487,1
NO,20,TRUE,NO CHARGES,12677620,SUSPECTED MINOR INJURY,23/04/2012 22:04,WHITE,MALE,UNKNOWN,21,35,35,DRY,CLEAR,MONDAY,0,1,30.30274477,-97.73815246,0
NO,45,FALSE,NO CHARGES,12678281,SUSPECTED MINOR INJURY,25/04/2012 11:41,WHITE,FEMALE,UNKNOWN,48,40,40,DRY,CLEAR,WEDNESDAY,0,1,30.24284863,-97.75217197,1
NO,5,FALSE,NO CHARGES,12678452,SUSPECTED MINOR INJURY,25/04/2012 16:39,HISPANIC,MALE,UNKNOWN,6,5,5,DRY,CLEAR,WEDNESDAY,0,1,,,0
NO,35,FALSE,NO CHARGES,12705913,SUSPECTED SERIOUS INJURY,25/04/2012 00:29,WHITE,MALE,UNKNOWN,39,0,0,DRY,CLEAR,WEDNESDAY,0,1,30.23471824,-97.7438364,1
NO,20,FALSE,NO CHARGES,12678335,SUSPECTED MINOR INJURY,26/04/2012 18:12,WHITE,MALE,UNKNOWN,22,35,35,DRY,CLEAR,THURSDAY,0,1,30.246376,-97.71473287,5
NO,5,FALSE,NO CHARGES,12686725,SUSPECTED SERIOUS INJURY,02/05/2012 18:21,BLACK,MALE,UNKNOWN,9,30,30,DRY,CLEAR,WEDNESDAY,0,1,30.19706548,-97.74430515,1
NO,45,FALSE,NO CHARGES,12697752,POSSIBLE INJURY,02/05/2012 17:21,BLACK,MALE,UNKNOWN,47,45,45,DRY,CLEAR,WEDNESDAY,0,1,,,1
NO,40,TRUE,NO CHARGES,12686840,SUSPECTED MINOR INJURY,03/05/2012 18:53,WHITE,MALE,UNKNOWN,41,35,35,DRY,CLEAR,THURSDAY,0,1,30.22705479,-97.79015245,0
NO,20,TRUE,NO CHARGES,12696955,SUSPECTED MINOR INJURY,05/05/2012 06:29,WHITE,MALE,NOT DAMAGED,23,0,0,DRY,CLOUDY,SATURDAY,0,1,30.25577478,-97.75728246,2
NO,45,TRUE,NO CHARGES,12722355,SUSPECTED SERIOUS INJURY,05/05/2012 01:08,WHITE,MALE,UNKNOWN,49,30,30,DRY,CLEAR,SATURDAY,0,1,30.29116113,-97.72705297,0
NO,40,FALSE,NO CHARGES,12696870,SUSPECTED MINOR INJURY,07/05/2012 12:10,WHITE,MALE,DAMAGED,41,60,60,DRY,CLEAR,MONDAY,0,1,30.38292895,-97.77079716,1
NO,0,FALSE,NO CHARGES,12737818,POSSIBLE INJURY,07/05/2012 18:06,HISPANIC,MALE,UNKNOWN,3,0,0,DRY,CLEAR,MONDAY,0,1,,,1
NO,25,TRUE,NO CHARGES,12737969,SUSPECTED MINOR INJURY,07/05/2012 09:57,WHITE,MALE,DAMAGED,28,35,35,DRY,CLEAR,MONDAY,0,1,30.28751477,-97.70131247,0
NO,25,TRUE,WRONG WAY ON ONE-WAY RD,12697034,SUSPECTED SERIOUS INJURY,09/05/2012 12:16,WHITE,FEMALE,UNKNOWN,29,30,30,DRY,CLEAR,WEDNESDAY,0,1,30.26654478,-97.74482246,1
NO,30,FALSE,NO CHARGES,12697013,SUSPECTED MINOR INJURY,11/05/2012 03:35,WHITE,FEMALE,UNKNOWN,30,60,60,WET,CLOUDY,FRIDAY,0,1,30.26592911,-97.73458854,1
NO,25,FALSE,NO CHARGES,12835403,SUSPECTED MINOR INJURY,11/05/2012 17:46,WHITE,MALE,UNKNOWN,26,35,35,DRY,CLEAR,FRIDAY,0,1,30.2441945,-97.73010044,1
NO,25,TRUE,NO CHARGES,12696971,NOT INJURED,13/05/2012 01:42,WHITE,MALE,UNKNOWN,26,30,30,DRY,CLEAR,SUNDAY,0,0,30.24020478,-97.72711247,1
NO,25,TRUE,NO CHARGES,12706141,SUSPECTED MINOR INJURY,15/05/2012 22:25,WHITE,MALE,NOT DAMAGED,26,25,25,DRY,CLEAR,TUESDAY,0,1,30.29541477,-97.74278246,4
NO,70,TRUE,NO CHARGES,12706319,SUSPECTED SERIOUS INJURY,17/05/2012 17:29,WHITE,MALE,NOT DAMAGED,72,30,30,DRY,CLEAR,THURSDAY,0,1,30.31201477,-97.72135247,1
NO,25,TRUE,"BICYCLE, RODE ON SIDEWALK",12749265,SUSPECTED MINOR INJURY,18/05/2012 16:18,WHITE,MALE,UNKNOWN,25,30,30,DRY,CLEAR,FRIDAY,0,1,30.25809478,-97.74792246,6
NO,35,TRUE,NO CHARGES,12718188,POSSIBLE INJURY,19/05/2012 10:13,WHITE,MALE,UNKNOWN,38,35,35,DRY,CLEAR,SATURDAY,0,1,30.23779248,-97.72562247,1
NO,40,FALSE,NO CHARGES,12718111,POSSIBLE INJURY,21/05/2012 18:12,HISPANIC,MALE,UNKNOWN,40,0,0,DRY,CLEAR,MONDAY,0,1,30.23224289,-97.73694868,1
NO,25,TRUE,NO CHARGES,12718062,POSSIBLE INJURY,22/05/2012 19:38,WHITE,MALE,NOT DAMAGED,28,40,40,DRY,CLEAR,TUESDAY,0,1,30.40070475,-97.74888246,1
NO,40,FALSE,NO CHARGES,12718033,SUSPECTED MINOR INJURY,23/05/2012 08:33,HISPANIC,MALE,UNKNOWN,43,40,40,DRY,CLEAR,WEDNESDAY,0,1,30.39058487,-97.80215215,1
NO,20,FALSE,NO CHARGES,12733524,SUSPECTED MINOR INJURY,26/05/2012 23:02,WHITE,MALE,UNKNOWN,23,0,0,DRY,CLEAR,SATURDAY,0,1,30.29522858,-97.74163666,1
NO,65,FALSE,NO CHARGES,12773889,SUSPECTED MINOR INJURY,26/05/2012 15:56,BLACK,MALE,UNKNOWN,69,20,20,DRY,CLEAR,SATURDAY,0,1,,,1
NO,50,FALSE,NO CHARGES,12734499,SUSPECTED MINOR INJURY,27/05/2012 11:08,WHITE,MALE,UNKNOWN,53,0,0,WET,CLEAR,SUNDAY,0,1,,,1
NO,20,FALSE,NO CHARGES,12733606,SUSPECTED MINOR INJURY,29/05/2012 10:58,WHITE,FEMALE,UNKNOWN,23,30,30,DRY,CLEAR,TUESDAY,0,1,,,1
